Date,địa chỉ,mặt tiền,đường vào,số tầng,số phòng  ngủ,số phòng toilet,m^2,price
08/10/2021,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",3.8,2,4,4,4,50,73 triệu/m²
08/10/2021,"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",5,5,5,4,5,60,80 triệu/m²
08/10/2021,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",5.4,4,3,3,3,95,70.5 triệu/m²
08/10/2021,"Đường Kha Vạn Cân, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",5.4,11,1,3,2,98,79.6 triệu/m²
08/10/2021,"Dự án NovaWorld Phan Thiết, Thành phố Phan Thiết, Bình Thuận",6,16,3,3,3,150,133.3 triệu/m²
08/10/2021,"Đường Phú Mỹ, Phường Biên Giang, Hà Đông, Hà Nội",8,4,,,,96,2.6 tỷ
08/10/2021,"Dự án Mega Ruby, Quận 9, Hồ Chí Minh",5,24,3,3,4,75,93.3 triệu/m²
08/10/2021,"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",4,9,2,3,2,48,114.6 triệu/m²
08/10/2021,"Dự án Vinhomes The Harmony, Đường Nguyệt Quế, Phường Việt Hưng, Long Biên, Hà Nội",6,15,4,,,90,161.1 triệu/m²
08/10/2021,"Ngõ 141/150, Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",6.2,3,5,6,4,45,88.9 triệu/m²
08/10/2021,"Phố Trần Đại Nghĩa, Phường Trương Định, Hai Bà Trưng, Hà Nội",5,3,5,3,4,35,112.9 triệu/m²
08/10/2021,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",,,3,3,2,48,204.2 triệu/m²
08/10/2021,"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",,,5,4,4,50.2,116.5 triệu/m²
08/10/2021,"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",3.5,2.5,5,3,4,30.1,81.4 triệu/m²
08/10/2021,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",,,4,4,3,56,76.8 triệu/m²
08/10/2021,"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",3.8,3,6,3,4,35,160 triệu/m²
08/10/2021,"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",3.3,3,4,4,3,32,55.6 triệu/m²
08/10/2021,"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",4,5,5,3,4,36,100 triệu/m²
08/10/2021,"199, Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",3.5,6,5,3,4,32,146.9 triệu/m²
08/10/2021,"Dự án Vinhomes Star City, Đường Lê Lợi, Phường Đông Hải, Thanh Hóa, Thanh Hóa",12,13,3,3,3,277,11.7 tỷ
08/10/2021,"Kim Chung Di Trạch, Hoài Đức, Hà Nội",5,17,5,5,5,120,9 tỷ
08/10/2021,"Đường Vũ Trọng Phụng, Phường Nhân Chính, Thanh Xuân, Hà Nội",4.5,2.5,6,3,,40,107.5 triệu/m²
08/10/2021,"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",3.5,,5,3,4,36,90.3 triệu/m²
08/10/2021,"Đường Lương Văn Can, Phường 15, Quận 8, Hồ Chí Minh",6,6,2,3,1,173,60.7 triệu/m²
08/10/2021,"Đường Đặng Văn Ngữ, Quận Đống Đa, Hà Nội",6.62,,4,3,4,115.3,16.5 tỷ
08/10/2021,"Phường Bồ Đề, Long Biên, Hà Nội",,,5,5,,47,108.5 triệu/m²
08/10/2021,"Dự án Ecolakes Mỹ Phước, Bến Cát, Bình Dương",70,30,1,3,4,120,216.7 nghìn/m²
08/10/2021,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh",5,8,3,4,4,95,55.3 triệu/m²
08/10/2021,"Đường 4, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",16,4,2,4,2,214,45.8 triệu/m²
08/10/2021,"Phường Bồ Đề, Long Biên, Hà Nội",,,4,3,3,31.4,95.2 triệu/m²
08/10/2021,"Dự án Gem Sky World, Long Thành, Đồng Nai",16,34,3,2,3,150,3.6 tỷ
08/10/2021,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",4,3,4,4,4,60,78.3 triệu/m²
08/10/2021,"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",,,5,4,2,30.6,76.8 triệu/m²
08/10/2021,"Ngõ 521, Đường Trương Định, Hoàng Mai, Hà Nội",4.2,3,5,6,4,55,108.2 triệu/m²
08/10/2021,"Dự án Tân Tây Đô, Đường 32, Xã Tân Lập, Đan Phượng, Hà Nội",5,13.5,4,4,5,80,81.2 triệu/m²
08/10/2021,"24 hẻm 3, Đường Hoàng Diệu, Phường 5, Đà Lạt, Lâm Đồng",,,1,1,1,80,90 triệu/m²
08/10/2021,"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",3.5,2.5,4,3,4,31,95.2 triệu/m²
08/10/2021,"Phố Trần Cung, Bắc Từ Liêm, Hà Nội",5.5,,5,4,5,60,71.7 triệu/m²
08/10/2021,"Ngõ 119, Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",,3,5,3,4,34,100 triệu/m²
08/10/2021,"Đường Thịnh Quang, Quận Đống Đa, Hà Nội",,,6,3,4,30,186.7 triệu/m²
08/10/2021,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",4,3.5,5,4,,43,137.2 triệu/m²
08/10/2021,"Đường Trần Cao Vân, Thị trấn Dầu Giây, Thống Nhất, Đồng Nai",8,5,1,2,1,112,15.6 triệu/m²
08/10/2021,"Dự án Elite Life, Cần Giuộc, Long An",10,40,3,3,4,210,14.8 triệu/m²
08/10/2021,"Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội",5,15,5,,,50,154 triệu/m²
08/10/2021,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",6.2,15,,2,1,50,138 triệu/m²
08/10/2021,"Dự án FLC Premier Parc Đại Mỗ, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",8,13,4,,,120,118.8 triệu/m²
08/10/2021,"Ngõ 86, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",,,5,3,4,36,83.3 triệu/m²
08/10/2021,"Ngõ 79, Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",4.35,3,5,4,5,100,100 triệu/m²
08/10/2021,"Dự án Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",,,5,6,,200,90 triệu/m²
08/10/2021,"Dự án Làng Việt Kiều Châu Âu Euroland, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",,,5,6,6,76.5,128.1 triệu/m²
08/10/2021,"Phường Võ Cường, Bắc Ninh, Bắc Ninh",4.5,5,4,3,4,92,52.2 triệu/m²
08/10/2021,"Ngõ 254/71, Đường Minh Khai, Phường Mai Động, Hoàng Mai, Hà Nội",3.8,,3,3,2,45,67.8 triệu/m²
08/10/2021,"Đường Nguyễn Tất Thành, Phường 13, Quận 4, Hồ Chí Minh",,,2,2,1,27.8,136.7 triệu/m²
08/10/2021,"Phường Tân Thành, Tân Phú, Hồ Chí Minh",8,16,3,5,5,160,150 triệu/m²
08/10/2021,"Đường 21, Thị trấn Xuân Mai, Chương Mỹ, Hà Nội",4.5,,2,3,2,88,56.8 triệu/m²
08/10/2021,"Đường Số 5, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",5,12,3,3,3,75,86.7 triệu/m²
08/10/2021,"Dự án An Phú Shop Villa, Đường An Phú, Phường Dương Nội, Hà Đông, Hà Nội",9,27,3,4,3,235,97.9 triệu/m²
08/10/2021,"Dự án Phùng Khoang, Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",7,8,5,6,5,148,113.5 triệu/m²
08/10/2021,"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",7,7,4,,,224,116.1 triệu/m²
08/10/2021,"445, Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",6,2.5,4,4,5,50,104 triệu/m²
08/10/2021,"Dự án Hoa Phượng, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội",14.65,13,4,5,5,313.5,47.8 triệu/m²
01/10/2021,"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",3.5,4,5,3,4,33,130.3 triệu/m²
08/10/2021,"Jamona Golden Silk, 210, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",13,22,3,4,5,200,110 triệu/m²
08/10/2021,"Thị trấn Cần Giuộc, Cần Giuộc, Long An",,3,2,2,2,36,34.2 triệu/m²
08/10/2021,"Đường 351, Thị trấn An Dương, An Dương, Hải Phòng",4.5,5,3,4,3,60,30 triệu/m²
08/10/2021,"Dự án Nam Phu Villas, Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",13,30,3,5,6,288,97.2 triệu/m²
08/10/2021,"Đường Lê Quang Đạo, Nam Từ Liêm, Hà Nội",4.5,3,5,4,4,40,100 triệu/m²
08/10/2021,"K654, Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng",7.35,5,3,4,5,125.2,53.5 triệu/m²
08/10/2021,"Phường Long Biên, Long Biên, Hà Nội",3.8,,6,3,3,37,129.7 triệu/m²
08/10/2021,"Tổ 34, Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội",,,3,3,2,55,50.9 triệu/m²
08/10/2021,"Ngõ 46, Đường Hoa Thám, Xã La Phù, Hoài Đức, Hà Nội",4.5,3,3,3,2,30.5,54.1 triệu/m²
08/10/2021,"Sanctuary Hồ Tràm, Ấp Hồ Tràm, Đường Ven Biển, Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu",,,2,4,4,432,34.3 triệu/m²
08/10/2021,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",6,4,4,4,3,100,7.8 tỷ
08/10/2021,"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",5,4,5,3,,36,75 triệu/m²
08/10/2021,"Đường Phạm Hùng, Quận 8, Hồ Chí Minh",5,40,4,6,4,110,136.4 triệu/m²
08/10/2021,"Đường Nguyễn Phong Sắc, Quận Cầu Giấy, Hà Nội",12,8,2,3,3,100,240 triệu/m²
08/10/2021,"Phường Nam Đồng, Đống Đa, Hà Nội",,,3,3,3,29,101.7 triệu/m²
08/10/2021,"Hẻm 40, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",5.7,8,3,3,3,87,59.8 triệu/m²
08/10/2021,"Ngõ 553, Đường Giải Phóng, Hoàng Mai, Hà Nội",4,15,4,4,5,113,159.3 triệu/m²
08/10/2021,"Đường Trần Văn Kiểu, Phường 11, Quận 6, Hồ Chí Minh",4.4,20,1,1,1,77,114.3 triệu/m²
08/10/2021,"52/11 Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",5.5,10,8,6,6,70,1.8 tỷ
08/10/2021,"Dự án Vinhomes Cầu Rào 2, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",,12,4,,,70,95.7 triệu/m²
08/10/2021,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",4.3,8,4,4,5,95,72.1 triệu/m²
08/10/2021,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",3.5,4,5,3,4,30,121.7 triệu/m²
08/10/2021,"Dự án Thanh Long Bay, Hàm Thuận Nam, Bình Thuận  ",13,42,2,,,108,74.1 triệu/m²
08/10/2021,"Dự án KĐT Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội",6,7,6,4,6,80,137.5 triệu/m²
08/10/2021,"Đường Đại Linh, Phường Trung Văn, Nam Từ Liêm, Hà Nội",4,11,,,,45,88.9 triệu/m²
08/10/2021,"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",4.3,,3,,,80,67.5 triệu/m²
08/10/2021,"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",12,,8,42,,180,102.8 triệu/m²
08/10/2021,"Đường Cách Mạng Tháng Tám, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",4,33,2,2,2,94,71.3 triệu/m²
08/10/2021,"Hẻm 43 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",4,5,3,4,4,64.8,71 triệu/m²
08/10/2021,"41 ngõ 277, Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",4.4,,1,1,1,35,62.9 triệu/m²
08/10/2021,"Ngõ 136, Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",3.5,8,3,3,3,55,120 triệu/m²
08/10/2021,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",4.5,,5,6,,34,104.4 triệu/m²
08/10/2021,"Xã Đông La, Hoài Đức, Hà Nội",4,3,4,3,3,40,36.2 triệu/m²
08/10/2021,"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",4,6,4,4,4,40,120 triệu/m²
08/10/2021,"Đường Hoàng Đạo Thành, Phường Kim Giang, Thanh Xuân, Hà Nội",3.3,2.5,5,3,4,33,110.6 triệu/m²
08/10/2021,"Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội",3,,5,,4,31.5,133.3 triệu/m²
08/10/2021,"Dự án The 9 Stellars, Đường Hoàng Hữu Nam, Phường Long Bình, Quận 9, Hồ Chí Minh",7,18,4,4,5,145,117.2 triệu/m²
30/09/2021,"521, Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",5,10,6,6,7,72,141.7 triệu/m²
05/10/2021,"Dự án Nam Hội An City, Đường 129, Xã Duy Nghĩa, Duy Xuyên, Quảng Nam",5,7.5,3,,,100,37.9 triệu/m²
08/10/2021,"Đường Nguyễn Phong Sắc, Phường Dịch Vọng, Cầu Giấy, Hà Nội",12,30,2,3,3,100,240 triệu/m²
08/10/2021,"Ngõ 351, Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",,,5,3,4,40,137.5 triệu/m²
08/10/2021,"Đường Hà Huy Tập, Phường Hòa Khê, Thanh Khê, Đà Nẵng",6.2,10.5,3,,,60,125 triệu/m²
08/10/2021,"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",4,10,5,4,3,40,155 triệu/m²
08/10/2021,"Đường 6, Phường Yên Nghĩa, Hà Đông, Hà Nội",4.5,3,4,4,4,35,52.9 triệu/m²
08/10/2021,"Đường Thanh Niên, Phường Quang Trung, Quy Nhơn, Bình Định",4,4,3,10,9,150,32 triệu/m²
08/10/2021,"Dự án The Manhattan, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",,30,5,5,5,126,140.1 triệu/m²
08/10/2021,"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",3.5,3.4,3,3,3,44,154.5 triệu/m²
08/10/2021,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",5,3,6,5,6,82,136.6 triệu/m²
08/10/2021,"Dự án 108 Nguyễn Trãi, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",6,13.5,6,,,87,183.9 triệu/m²
08/10/2021,"Dự án Tây Nam Hồ Linh Đàm, Đường Bùi Huy Bích, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",10,,4,,,200,150 triệu/m²
07/10/2021,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",5,12,1,3,3,122.5,179.6 triệu/m²
30/09/2021,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",4.2,,5,6,4,52,114.4 triệu/m²
07/10/2021,"Đường Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",3.5,2,2,2,1,26,59.6 triệu/m²
07/10/2021,"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",5,7,4,4,5,80,75 triệu/m²
07/10/2021,"872/9A, Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",4,8,5,5,6,80,137.5 triệu/m²
07/10/2021,"Đường Nguyễn Lam, Phường Phúc Đồng, Long Biên, Hà Nội",4,,5,3,,36,95.8 triệu/m²
07/10/2021,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội",5,17,5,5,4,75,253.3 triệu/m²
07/10/2021,"Đường 5, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",14,14,4,6,6,72,173.6 triệu/m²
07/10/2021,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,12,4,4,7,250,100 triệu/m²
07/10/2021,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",10,60,5,5,5,120,225 triệu/m²
07/10/2021,"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",4,6,5,4,4,32,76.2 triệu/m²
07/10/2021,"Đường Lê Thị Trung, Phường An Phú, Thuận An, Bình Dương",10,15,2,4,3,60,48.2 triệu/m²
07/10/2021,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",4.5,4,5,7,7,50,132 triệu/m²
07/10/2021,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",3.6,2.5,4,2,,30,99.7 triệu/m²
07/10/2021,"Đường La Tinh, Xã Đông La, Hoài Đức, Hà Nội",3.5,5,5,3,3,35,68.6 triệu/m²
07/10/2021,"Dự án Kim Chung Di Trạch, Đường Quốc lộ 32, Xã Di Trạch, Hoài Đức, Hà Nội",5,13,5,,,79,4.3 tỷ
07/10/2021,"Dự án Amelie Villa Phú Mỹ Hưng, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",20,12,3,4,4,280,81.3 triệu/m²
07/10/2021,"Dự án FLC Quảng Bình, Xã Hải Ninh, Quảng Ninh, Quảng Bình",6,,3,5,3,150,33.3 triệu/m²
04/10/2021,"Dự án ParaSol, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",,15,3,3,4,120,40.8 triệu/m²
07/10/2021,"Hẻm 535, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",7,10,4,4,4,56,134.8 triệu/m²
07/10/2021,"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",4,,5,6,7,54,196.3 triệu/m²
07/10/2021,"Dự án KĐTM Dương Nội, Đường An Phú, Phường Dương Nội, Hà Đông, Hà Nội",5,6,5,6,4,92,119.6 triệu/m²
07/10/2021,"Đường 9, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",6.66,8,4,4,5,99.9,118.1 triệu/m²
07/10/2021,"Đường Hoàng Mai, Hoàng Mai, Hà Nội",,,5,3,,32,4.3 tỷ
07/10/2021,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",6.6,40,3,4,2,70,141.4 triệu/m²
07/10/2021,"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",4.1,3.5,5,3,4,31,95.2 triệu/m²
07/10/2021,"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",6,4,3,9,10,130,60 triệu/m²
07/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",10,13,4,,,150,166.7 triệu/m²
07/10/2021,"Đường 70, Phường Phương Canh, Nam Từ Liêm, Hà Nội",4,4,5,3,3,32,92.2 triệu/m²
07/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",8.5,13,4,,,150,123.3 triệu/m²
07/10/2021,"Dự án Jamona Home Resort, Đường Số 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,,3,4,4,250,12.5 tỷ
07/10/2021,"Phường Bồ Đề, Đường Lâm Du, Long Biên, Hà Nội",4,2.5,4,,,61,93.4 triệu/m²
07/10/2021,"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",4,4,,2,,45,75.6 triệu/m²
07/10/2021,"Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội",7,30,3,,,126,111.7 triệu/m²
07/10/2021,"Xã Tả Thanh Oai, Thanh Trì, Hà Nội",,2.3,4,4,,30,51.7 triệu/m²
07/10/2021,"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội",6,40,1,1,1,40,325 triệu/m²
02/10/2021,"Dự án Centa City, Đường Hữu Nghị, Xã Phù Chẩn, Từ Sơn, Bắc Ninh",9,12,3,6,6,135,39.3 triệu/m²
07/10/2021,"Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",7,,3,3,3,43.5,73.6 triệu/m²
07/10/2021,"Dự án Eco City Premia, Đường Nguyễn Chí Thanh, Phường Tân An, Buôn Ma Thuột, Đắk Lắk",6,30,4,,,120,30 triệu/m²
07/10/2021,"Đường La Dương, Phường Dương Nội, Hà Đông, Hà Nội",4,12,7,5,5,50,153.6 triệu/m²
07/10/2021,"Đường Máng Nước, Xã An Đồng, An Dương, Hải Phòng",5,9,3,4,4,100,60 triệu/m²
07/10/2021,"Số 3 ngách 276/12 Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",5,3.5,3,3,2,53.5,72 triệu/m²
07/10/2021,"Phố Hoàng Cầu, Phường Trung Liệt, Đống Đa, Hà Nội",4.6,50,8,4,4,52,313.5 triệu/m²
07/10/2021,"Dự án Centa City, Đường Hữu Nghị, Xã Phù Chẩn, Từ Sơn, Bắc Ninh",12,12,3,4,5,220.5,49 triệu/m²
07/10/2021,"Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",,3.4,4,3,3,20,92.5 triệu/m²
07/10/2021,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",,3.4,6,8,6,60,170 triệu/m²
07/10/2021,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",4,3.5,5,3,4,33,98.5 triệu/m²
07/10/2021,"Dự án Tân Lập Cienco 5, Đường 422, Xã Tân Lập, Đan Phượng, Hà Nội",5,12,4,5,4,75,56 triệu/m²
07/10/2021,"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",4.95,,5,3,4,34,78.8 triệu/m²
07/10/2021,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",3.2,2.3,5,5,4,43,79.1 triệu/m²
07/10/2021,"Đường Trường Chinh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",3.1,4,4,3,3,30,140 triệu/m²
07/10/2021,"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",3,5,4,5,4,56,100 triệu/m²
07/10/2021,"Ngõ 79, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",4,2,5,5,4,52,76.9 triệu/m²
07/10/2021,"Đường Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",,,8,4,7,80,298.8 triệu/m²
07/10/2021,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",4.4,8,8,8,9,45,366.7 triệu/m²
07/10/2021,"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội",4.2,2.5,5,3,3,34,63.2 triệu/m²
07/10/2021,"Phố Phương Liệt, Phường Phương Liệt, Thanh Xuân, Hà Nội",6,3,5,5,5,45,144.4 triệu/m²
07/10/2021,"Dự án Sadeco Phước Kiển, Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,,4,5,6,95,91.1 triệu/m²
07/10/2021,"Đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",4,4,2,2,2,29,129.3 triệu/m²
07/10/2021,"Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",5.2,2,5,3,4,33,116.7 triệu/m²
07/10/2021,"49/14/97 Đường Số 51, Phường 14, Gò Vấp, Hồ Chí Minh",,3,2,2,2,18,125 triệu/m²
07/10/2021,"Phố Lò Đúc, Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội",8,,7,4,,45,211.1 triệu/m²
07/10/2021,"Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",4.2,8.5,4,4,3,50,158 triệu/m²
07/10/2021,"Hẻm 38 Đường Nguyễn Văn Vịnh, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",4,10,2,2,2,80.2,115.3 triệu/m²
07/10/2021,"Dự án Him Lam Kênh Tẻ, Đường Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, Hồ Chí Minh",5,30,4,5,6,100,175 triệu/m²
07/10/2021,"Ngõ 167, Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",,5,3,4,3,62,160.5 triệu/m²
07/10/2021,"Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",5,10,5,5,5,70,250 triệu/m²
07/10/2021,"Đường Tân Hương, Phường Tân Quý, Tân Phú, Hồ Chí Minh",4,6,2,2,2,59,109.3 triệu/m²
07/10/2021,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",3.5,2,4,5,3,50,102 triệu/m²
07/10/2021,"Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội",12.01,6,4,4,,199,100.5 triệu/m²
07/10/2021,"Đường Trần Hữu Dực, Phường Phương Canh, Nam Từ Liêm, Hà Nội.",3.9,3.5,5,3,4,32,79.7 triệu/m²
07/10/2021,"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,4,3,4,56,100 triệu/m²
07/10/2021,"Đường Châu Đức - Suối Nghệ, Xã Suối Nghệ, Châu Đức, Bà Rịa Vũng Tàu",,,2,2,2,100,15 triệu/m²
07/10/2021,"49/11, Đường Dương Thiệu Tước, Phường Tân Quý, Tân Phú, Hồ Chí Minh",4,5,2,2,2,49.3,95.1 triệu/m²
07/10/2021,"Dự án KDC Phú Mỹ, Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",12,30,4,4,,194.25,132.3 triệu/m²
07/10/2021,"Ngõ 164, Đường Vương Thừa Vũ, Phường Khương Mai, Thanh Xuân, Hà Nội",5.2,,4,4,,48,152.1 triệu/m²
07/10/2021,"Tổ 6, Đường 351, Thị trấn An Dương, An Dương, Hải Phòng",4,12,2,2,2,59,29.7 triệu/m²
07/10/2021,"Xã Cự Khê, Thanh Oai, Hà Nội",3.5,2.5,4,4,3,36,51.4 triệu/m²
07/10/2021,"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",7,5,4,4,3,80,97.5 triệu/m²
07/10/2021,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",,,4,4,4,50,125 triệu/m²
